Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",99.000000,-87.600000,90.000000,top
"C2","100nF","C_0402_1005Metric",97.400000,-65.400000,0.000000,top
"C3","100nF","C_0402_1005Metric",93.000000,-80.800000,90.000000,top
"C4","100nF","C_0402_1005Metric",106.000000,-80.800000,90.000000,top
"D1","TPD2E2U06DRLR","SOT-553",102.600000,-90.500000,0.000000,top
"D2","TPD1E10B06DYAR","D_SOD-523",96.600000,-89.000000,0.000000,top
"J1","PH_4P_Header_3V3_I2C","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",97.000000,-93.500000,0.000000,top
"R1","2.7k","R_0402_1005Metric",100.600000,-83.500000,90.000000,top
"R2","2.7k","R_0402_1005Metric",102.000000,-83.500000,90.000000,top
"R3","4R7","R_0402_1005Metric",99.000000,-90.600000,90.000000,top
"U1","SHT40-AD1B-R3","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",100.000000,-64.000000,180.000000,top
"U2","LPS22HBTR","ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y",95.400000,-80.800000,0.000000,top
"U3","OPT3001DNPR","Texas_USON-6-1EP_2x2mm_P0.65mm_EP0.65x1.35mm",103.200000,-80.800000,0.000000,top
